RXCUI,drug_name,therapeutic_subgroup,n_plans_total,rate_pa,rate_st,rate_ql,rate_pa_only,rate_pa_st,rate_pa_ql,rate_triple,rate_none,n_plans_pa,n_plans_st,n_plans_ql,n_plans_triple
311982,nilutamide 150 MG Oral Tablet,ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,5085,0.028908554572271386,0.0,0.25467059980334317,0.02733529990167158,0.0,0.0015732546705998034,0.0,0.7179941002949852,147,0,1295,0
311944,niacin 500 MG Oral Tablet [Niacor],PERIPHERAL VASODILATORS,2768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311943,nevirapine 10 MG/ML Oral Suspension,ANTIVIRALS FOR SYSTEMIC USE,5085,0.0,0.0,0.5742379547689282,0.0,0.0,0.0,0.0,0.4257620452310718,0,0,2920,0
311919,nateglinide 120 MG Oral Tablet,DRUGS USED IN DIABETES,5059,0.0,0.0,0.7426368847598339,0.0,0.0,0.0,0.0,0.25736311524016603,0,0,3757,0
311918,naratriptan 1 MG Oral Tablet,ANALGESICS,4817,0.0,0.0012455885405854266,0.9717666597467304,0.0,0.0,0.0,0.0,0.028233340253269668,0,6,4681,0
311915,naproxen 500 MG Delayed Release Oral Tablet,OTHER GYNECOLOGICALS in ATC,2800,0.0,0.0,0.3382142857142857,0.0,0.0,0.0,0.0,0.6617857142857143,0,0,947,0
311913,naproxen 25 MG/ML Oral Suspension,OTHER GYNECOLOGICALS in ATC,1512,0.42724867724867727,0.0,0.5515873015873016,0.0,0.0,0.42724867724867727,0.0,0.44841269841269843,646,0,834,0
311893,nabumetone 750 MG Oral Tablet,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,5051,0.0,0.0,0.07246089883191448,0.0,0.0,0.0,0.0,0.9275391011680856,0,0,366,0
311892,nabumetone 500 MG Oral Tablet,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,5051,0.0,0.0,0.07246089883191448,0.0,0.0,0.0,0.0,0.9275391011680856,0,0,366,0
311678,metronidazole 7.5 MG/ML Topical Cream,ANTIBACTERIALS FOR SYSTEMIC USE,5062,0.0,0.0,0.21335440537337022,0.0,0.0,0.0,0.0,0.7866455946266298,0,0,1080,0
311877,mupirocin 20 MG/ML Topical Cream,NASAL PREPARATIONS,2303,0.0,0.0,0.5306122448979592,0.0,0.0,0.0,0.0,0.46938775510204084,0,0,1222,0
311787,moxifloxacin 400 MG Oral Tablet,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311759,montelukast 4 MG Chewable Tablet,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,5084,0.0,0.0,0.5430763178599528,0.0,0.0,0.0,0.0,0.4569236821400472,0,0,2761,0
311753,mometasone furoate 1 MG/ML Topical Cream,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,5085,0.0,0.0,0.3726647000983284,0.0,0.0,0.0,0.0,0.6273352999016716,0,0,1895,0
311727,misoprostol 0.1 MG Oral Tablet,DRUGS FOR ACID RELATED DISORDERS,5081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311726,mirtazapine 45 MG Oral Tablet,PSYCHOANALEPTICS,5085,0.0,0.0,0.2584070796460177,0.0,0.0,0.0,0.0,0.7415929203539823,0,0,1314,0
311725,mirtazapine 15 MG Oral Tablet,PSYCHOANALEPTICS,5085,0.0,0.0,0.19941002949852507,0.0,0.0,0.0,0.0,0.800589970501475,0,0,1014,0
311683,100 ML metronidazole 5 MG/ML Injection,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.06941986234021633,0.0,0.0,0.06941986234021633,0.0,0.0,0.0,0.9305801376597836,353,0,0,0
311681,metronidazole 500 MG Oral Tablet,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311679,metronidazole 0.0075 MG/MG Topical Gel,ANTIBACTERIALS FOR SYSTEMIC USE,5079,0.0,0.0,0.21264028352037803,0.0,0.0,0.0,0.0,0.787359716479622,0,0,1080,0
311880,mycophenolate mofetil 200 MG/ML Oral Suspension,,5085,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5085,0,0,0
310797,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet,DIURETICS,4170,0.0,0.0,0.08105515587529977,0.0,0.0,0.0,0.0,0.9189448441247002,0,0,338,0
310796,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,4170,0.0,0.0,0.08105515587529977,0.0,0.0,0.0,0.0,0.9189448441247002,0,0,338,0
310793,hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet,DIURETICS,4968,0.0,0.0,0.7039049919484702,0.0,0.0,0.0,0.0,0.2960950080515298,0,0,3497,0
310792,hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet,DIURETICS,4968,0.0,0.0,0.7039049919484702,0.0,0.0,0.0,0.0,0.2960950080515298,0,0,3497,0
310687,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension,ANTIBACTERIALS FOR SYSTEMIC USE,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
310672,haloperidol 5 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.0,0.043067846607669616,0.0,0.0,0.0,0.9569321533923304,219,0,0,0
310671,haloperidol 1 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.0,0.043067846607669616,0.0,0.0,0.0,0.9569321533923304,219,0,0,0
310670,haloperidol 0.5 MG Oral Tablet,PSYCHOLEPTICS,5085,0.043067846607669616,0.0,0.0,0.043067846607669616,0.0,0.0,0.0,0.9569321533923304,219,0,0,0
310600,griseofulvin 500 MG Oral Tablet,ANTIFUNGALS FOR DERMATOLOGICAL USE,4829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311277,lansoprazole 30 MG Delayed Release Oral Capsule,DRUGS FOR ACID RELATED DISORDERS,4756,0.0,0.0,0.9432296047098402,0.0,0.0,0.0,0.0,0.0567703952901598,0,0,4486,0
310594,gramicidin 0.025 MG/ML / neomycin 1.75 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution,ANTIBACTERIALS FOR SYSTEMIC USE,5036,0.0,0.0,0.017871326449563147,0.0,0.0,0.0,0.0,0.9821286735504369,0,0,90,0
310539,glyburide 6 MG Oral Tablet,DRUGS USED IN DIABETES,946,0.10359408033826638,0.0,0.6405919661733616,0.09408033826638477,0.0,0.009513742071881607,0.0,0.2653276955602537,98,0,606,0
310537,glyburide 5 MG Oral Tablet,DRUGS USED IN DIABETES,1208,0.08195364238410596,0.013245033112582781,0.5082781456953642,0.07367549668874172,0.0,0.008278145695364239,0.0,0.40480132450331124,99,16,614,0
310536,glyburide 3 MG Oral Tablet,DRUGS USED IN DIABETES,946,0.10359408033826638,0.0,0.6405919661733616,0.09408033826638477,0.0,0.009513742071881607,0.0,0.2653276955602537,98,0,606,0
310534,glyburide 2.5 MG Oral Tablet,DRUGS USED IN DIABETES,1208,0.08195364238410596,0.013245033112582781,0.5082781456953642,0.07367549668874172,0.0,0.008278145695364239,0.0,0.40480132450331124,99,16,614,0
310497,glucagon (rDNA) 1 MG Injection,PANCREATIC HORMONES,2282,0.0,0.0,0.1196319018404908,0.0,0.0,0.0,0.0,0.8803680981595092,0,0,273,0
310490,glipizide 5 MG Oral Tablet,DRUGS USED IN DIABETES,5085,0.0,0.0,0.7231071779744346,0.0,0.0,0.0,0.0,0.27689282202556537,0,0,3677,0
310489,24 HR glipizide 2.5 MG Extended Release Oral Tablet,DRUGS USED IN DIABETES,5085,0.0,0.0,0.7231071779744346,0.0,0.0,0.0,0.0,0.27689282202556537,0,0,3677,0
310488,glipizide 10 MG Oral Tablet,DRUGS USED IN DIABETES,5085,0.0,0.0,0.7231071779744346,0.0,0.0,0.0,0.0,0.27689282202556537,0,0,3677,0
310477,50 ML gentamicin 1.6 MG/ML Injection,ANTIBACTERIALS FOR SYSTEMIC USE,4417,0.0695041883631424,0.0,0.0,0.0695041883631424,0.0,0.0,0.0,0.9304958116368576,307,0,0,0
310599,granisetron 1 MG Oral Tablet,ANTIEMETICS AND ANTINAUSEANTS,4706,0.9985125371865703,0.003187420314492138,0.5881852953676158,0.408627284317892,0.003187420314492138,0.5866978325541862,0.0,0.0,4699,15,2768,0
311265,lamotrigine 5 MG Tablet for Oral Suspension,ANTIEPILEPTICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311264,lamotrigine 25 MG Tablet for Oral Suspension,ANTIEPILEPTICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311207,ivermectin 3 MG Oral Tablet,ANTHELMINTICS,5085,0.6507374631268437,0.0,0.36951819075712883,0.29950835791543756,0.0,0.3512291052114061,0.0,0.3309734513274336,3309,0,1879,0
311204,itraconazole 100 MG Oral Capsule,ANTIMYCOTICS FOR SYSTEMIC USE,5085,0.45565388397246803,0.0,0.6768928220255654,0.22143559488692233,0.0,0.23421828908554573,0.0,0.10167158308751229,2317,0,3442,0
311197,isosorbide mononitrate 20 MG Oral Tablet,,3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311196,24 HR isosorbide mononitrate 120 MG Extended Release Oral Tablet,,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311192,isosorbide mononitrate 10 MG Oral Tablet,,3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311166,isoniazid 100 MG Oral Tablet,ANTIMYCOBACTERIALS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311036,"insulin, regular, human 100 UNT/ML Injectable Solution [Humulin R]",DRUGS USED IN DIABETES,2004,0.01996007984031936,0.0,0.17115768463073852,0.01996007984031936,0.0,0.0,0.0,0.8088822355289421,40,0,343,0
310798,hydrochlorothiazide 25 MG Oral Tablet,DIURETICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
311027,"insulin isophane, human 100 UNT/ML Injectable Suspension [Novolin N]",,3929,0.0,0.0,0.12573173835581572,0.0,0.0,0.0,0.0,0.8742682616441843,0,0,494,0
311026,"insulin isophane, human 100 UNT/ML Injectable Suspension [Humulin N]",,2004,0.003992015968063872,0.0,0.17115768463073852,0.003992015968063872,0.0,0.0,0.0,0.8248502994011976,8,0,343,0
310992,indomethacin 75 MG Extended Release Oral Capsule,CARDIAC THERAPY,1465,0.0,0.0,0.06689419795221843,0.0,0.0,0.0,0.0,0.9331058020477816,0,0,98,0
310991,indomethacin 5 MG/ML Oral Suspension,CARDIAC THERAPY,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
310982,imiquimod 50 MG/ML Topical Cream,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,5085,0.043067846607669616,0.0,0.7913470993117011,0.043067846607669616,0.0,0.0,0.0,0.1655850540806293,219,0,4024,0
310891,hydrocortisone 25 MG/ML Topical Cream,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",5083,0.0,0.0,0.3745819397993311,0.0,0.0,0.0,0.0,0.6254180602006689,0,0,1904,0
310878,hydrocortisone 1.67 MG/ML Enema,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",5018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
310818,hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet,DIURETICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
310812,hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet,DIURETICS,5085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
310809,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,4170,0.0,0.0,0.08105515587529977,0.0,0.0,0.0,0.0,0.9189448441247002,0,0,338,0
311033,"insulin, regular, human 100 UNT/ML Injectable Solution [Novolin R]",DRUGS USED IN DIABETES,3929,0.326037159582591,0.0,0.12573173835581572,0.3242555357597353,0.0,0.0017816238228556885,0.0,0.5500127258844489,1281,0,494,0
312829,risperidone 0.5 MG Oral Tablet,PSYCHOLEPTICS,5085,0.0,0.0,0.5398230088495575,0.0,0.0,0.0,0.0,0.46017699115044247,0,0,2745,0
312828,risperidone 0.25 MG Oral Tablet,PSYCHOLEPTICS,5085,0.0,0.0,0.5398230088495575,0.0,0.0,0.0,0.0,0.46017699115044247,0,0,2745,0
